id,imdb_id,popularity,vote_average
2,"tt0094675",3.860491,7.1
3,"tt0092149",2.29211,7.1
5,"tt0113101",9.026586,6.5
6,"tt0107286",5.538671,6.4
11,"tt0076759",42.149697,8.1
12,"tt0266543",25.497794,7.6
13,"tt0109830",48.307194,8.2
14,"tt0169547",20.726578,7.9
15,"tt0033467",15.811921,8
16,"tt0168629",10.684806,7.7
17,"tt0411267",5.691508,5.6
18,"tt0119116",24.30526,7.3
19,"tt0017136",14.487867,8
20,"tt0314412",10.310508,7.2
21,"tt0060371",1.378819,7.8
22,"tt0325980",47.326665,7.5
24,"tt0266697",25.261865,7.7
25,"tt0418763",9.997032,6.6
26,"tt0352994",1.709996,6.5
27,"tt0411705",18.847707,5.1
28,"tt0078788",13.5963,8
30,"tt1530535",0.987992,7.9
33,"tt0105695",10.942149,7.7
35,"tt0462538",14.302911,6.9
38,"tt0338013",12.906327,7.9
55,"tt0245712",5.958138,7.6
58,"tt0383574",29.455314,7
59,"tt0399146",11.119707,6.9
62,"tt0062622",22.494622,7.9
63,"tt0114746",12.297305,7.4
64,"tt0287467",6.648278,7.5
65,"tt0298203",8.374355,6.8
66,"tt0118548",7.66124,6.4
67,"tt0445620",3.714186,6.9
68,"tt0088846",9.837287,7.6
69,"tt0358273",11.476443,7.3
70,"tt0405159",14.471373,7.7
71,"tt0249462",12.158424,7.4
73,"tt0120586",18.157166,8.2
74,"tt0407304",19.929377,6.2
75,"tt0116996",15.63424,6.1
76,"tt0112471",11.304979,7.7
77,"tt0209144",15.450789,8.1
78,"tt0083658",96.272374,7.9
79,"tt0299977",9.861765,7.3
80,"tt0381681",7.048957,7.6
81,"tt0087544",11.267366,7.7
82,"tt0430357",11.72545,5.7
83,"tt0374102",10.652818,5.3
85,"tt0082971",19.901576,7.7
86,"tt0430051",11.552537,6.4
87,"tt0087469",15.802306,7.1
88,"tt0092890",14.044122,7.1
89,"tt0097576",14.788987,7.6
90,"tt0086960",8.503483,6.8
91,"tt0023037",2.475972,6.5
92,"tt0169024",0.406137,7
93,"tt0052561",9.473772,7.7
95,"tt0120591",13.235112,6.5
96,"tt0092644",9.200336,6.1
97,"tt0084827",16.574021,6.6
98,"tt0172495",23.186667,7.9
99,"tt0185125",10.000915,7.4
100,"tt0120735",4.60786,7.5
101,"tt0110413",20.477329,8.2
102,"tt0315543",6.818513,6.8
103,"tt0075314",14.092713,8.1
104,"tt0130827",7.765379,7.2
105,"tt0088763",25.778509,8
106,"tt0093773",18.495694,7.3
107,"tt0208092",14.014025,7.7
108,"tt0108394",8.843517,7.7
109,"tt0111507",6.5898,7.3
110,"tt0111495",7.832755,7.8
111,"tt0086250",11.299673,8
112,"tt0243862",5.396508,6.5
113,"tt0374546",8.157887,7.6
114,"tt0100405",13.348451,7
115,"tt0118715",15.952524,7.8
116,"tt0416320",9.020372,7.2
117,"tt0094226",11.062203,7.6
118,"tt0367594",22.038405,6.7
120,"tt0120737",32.070725,8
121,"tt0167261",29.423537,8
122,"tt0167260",29.324358,8.1
123,"tt0077869",7.914795,6.1
124,"tt0086961",3.256676,7
127,"tt0084549",3.208221,7.7
128,"tt0119698",17.166725,8.2
129,"tt0245429",41.048867,8.3
132,"tt0065780",2.336022,7.8
133,"tt0054205",0.380635,7
134,"tt0190590",12.434175,7.3
135,"tt0061589",2.676174,7.5
136,"tt0022913",9.074348,7.7
137,"tt0107048",12.989627,7.4
138,"tt0021814",7.503126,7.2
139,"tt0164756",2.539346,6.8
140,"tt0275491",7.66414,7.1
